uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
34c476e16d745cb56c437e1cadf3bbaa,"Esta tarde, en el jardín de las rosas de la Casa Blanca, los presidentes Andrés Manuel López Obrador y Donald Trump firman una declaración conjunta México-EU, nos adelantan. ",La declaración AMLO-Trump,https://www.eluniversal.com.mx/nacion/bajo-reserva-expres-la-declaracion-amlo-trump,eluniversal,www.eluniversal.com.mx,1,16
9b6cbfe977b9015b05c4cd9e08c7e99d,La Secretaría de Educación de Yucatán (Segey) detalló los criterios que tomará en cuenta para la asignación de lugares en las secundarias con sobre demanda.,Cómo se asignarán lugares en secundarias de Yucatán,http://www.unionyucatan.mx/articulo/2020/07/07/educacion/como-se-asignaran-lugares-en-secundarias-de-yucatan,eluniversal,www.unionyucatan.mx,5,12
ec52ba2369cbf23057fc902495863e6b," Tres policías estatales y dos municipales han resultado positivos a Covid-19 en Querétaro, dos de ellos fallecieron en las últimas horas; los casos fueron reportados por las respectivas corporaciones.",Reportan dos policías fallecidos y tres más positivos a Coronavirus,https://www.eluniversalqueretaro.mx/portada/fallecen-dos-policias-por-virus,eluniversal,www.eluniversalqueretaro.mx,7,16
35310c4f59c26ec1d54f4ed9c14bcd01,"El expresidente de la Cámara de Diputados y ex embajador de México ante la ONU, Porfirio Muñoz Ledo, calificó que la visita del presidente Andrés Manuel López Obrador y su discurso en la Casa Blanca en Washington, fue una proeza diplomática y el tabasqueño se volvió a poner la banda presidencial.","Con su discurso, AMLO se volvió a poner la banda presidencial: Muñoz Ledo",http://www.eluniversal.com.mx/nacion/politica/munoz-ledo-amlo-se-volvio-poner-la-banda-presidencial,eluniversal,www.eluniversal.com.mx,8,28
a56ef1d340d825284927812a163dd1ff," La Administración de Alimentos y Medicamentos (FDA) de Estados Unidos amplió su lista de las marcas de gel antibacterial que tienen altos niveles de toxicidad que pueden dañar a las personas durante la emergencia de coronavirus. ",eu alerta por otras 5 marcas mexicanas de gel antibacterial con metanol,https://www.viveusa.mx/bienestar/eu-alerta-por-otras-5-marcas-mexicanas-de-gel-antibacterial-con-metanol,eluniversal,www.viveusa.mx,7,18
b9c43420813698ec445a39a505eeebeb," Al participar en la Primera Asamblea Plenaria Ordinaria 2020 de la Conferencia Nacional de Seguridad Pública Municipal, el alcalde Luis Nava destacó la labor de las corporaciones de seguridad de los municipios que a lo largo de la contingencia sanitaria provocada por el Covid-19 han sido de los primeros respondientes y los más cercanos a los ciudadanos.",Destaca Lava Nava labor de agentes municipales,https://www.eluniversalqueretaro.mx/portada/destaca-nava-labor-de-agentes-municipales,eluniversal,www.eluniversalqueretaro.mx,6,27
81ffb6b3673b4c044266d7633d8f33f1,#OpiniónExprés,AMLO y Trump: muchas flores en el Jardín de las Rosas,https://www.eluniversal.com.mx/opinion/andrew-selee/amlo-y-trump-muchas-flores-en-el-jardin-de-las-rosas,eluniversal,www.eluniversal.com.mx,6,1
4a62b27ab982c54b047fc8b6b7952f3d," El gobernador del estado, Francisco Domínguez Servién, encabezó la entrega de equipamiento antimotín y unidades a elementos de la Policía Estatal, con una inversión de 11.8 millones de pesos de recursos estatales.",Reconoce gobernador a la Policía Estatal,https://www.eluniversalqueretaro.mx/portada/reconoce-fds-la-policia-estatal,eluniversal,www.eluniversalqueretaro.mx,4,17
0fc9bb96a73fe35cbef469e7d2897aaf,Uno de los requisitos para cobrar las Becas Benito Juárez a través de Bienestar Azteca es que presentes tu NIP.,"Bienestar Azteca Edomex: No recuerdo mi NIP, ¿qué puedo hacer?",http://www.unionedomex.mx/articulo/2020/07/06/educacion/bienestar-azteca-edomex-no-recuerdo-mi-nip-que-puedo-hacer,eluniversal,www.unionedomex.mx,7,10
d1ce033e94eb3532b2177556d201e01d,"El presidente de Estados Unidos, Donald Trump, calificó como “excepcional” la visita que realiza su homólogo de México, Andrés Manuel López Obrador, y aseguró que a pesar de adversidades y apuestas en contra, ambos mandatarios han tenido una muy buena relación desde el principio, por lo que “ya han aprendido a no apostar en contra de nosotros”.",Trump califica como “excepcional” la visita de AMLO a EU,http://www.eluniversal.com.mx/nacion/trump-excepcional-la-visita-de-amlo-eu,eluniversal,www.eluniversal.com.mx,6,25
